policy_number;spcode;prod_code;init_pol;commencement_year;ifrs17_group;age_at_entry;gender;mm_age_at_entry;mm_gender;sum_assured;annual_premium;premium_status;waiting_period;duration_if_m;sa_escalation;prem_escalation;prem_freq;temp_pw_ind;temp_pw_mth_exit;distribution;tax_class;education;plan;continuity_or_premium_waiver_option;prem_waiver_ind;comm_type;cashback_ind;repatriation;tombstone;cow_benefit;educator_option;paidup_option;paidup_ind;member_type;term;food;cashback_option;Weighting
10101;1;FUN_01;1;0;NULL;15;M;36;M;10000;0;0;6;80;0;0;12;0;0;NULL;NULL;NULL;D;0;0;3;0;0;0;0;0;0;0;CH;105;0;0;0.01
10101;1;FUN_01;1;0;NULL;8;M;36;M;10000;0;0;6;80;0;0;12;0;0;NULL;NULL;NULL;D;0;0;3;0;0;0;0;0;0;0;CH;112;0;0;0.01
10102;1;FUN_01;1;0;NULL;27;M;27;M;10000;1140;0;6;19;0;0;12;0;0;NULL;NULL;NULL;B;0;0;3;0;0;0;0;0;0;0;MM;93;0;0;0.01
10107;1;FUN_01;1;0;NULL;31;M;31;M;10000;1140;0;6;80;0;0;12;0;0;NULL;NULL;NULL;B;0;0;3;0;0;0;0;0;0;0;MM;89;0;0;0.01
10107;1;FUN_01;1;0;NULL;22;M;31;M;10000;0;0;6;80;0;0;12;0;0;NULL;NULL;NULL;B;0;0;3;0;0;0;0;0;0;0;SP;98;0;0;0.01
10107;1;FUN_01;1;0;NULL;1;M;31;M;5000;0;0;6;80;0;0;12;0;0;NULL;NULL;NULL;B;0;0;3;0;0;0;0;0;0;0;CH;119;0;0;0.01
10112;1;FUN_01;1;0;NULL;52;F;52;F;20000;2820;0;6;81;0;0;12;0;0;NULL;NULL;NULL;D;0;0;3;0;0;0;0;0;0;0;MM;68;0;0;0.01
10112;1;FUN_01;1;0;NULL;62;M;52;F;20000;0;0;6;81;0;0;12;0;0;NULL;NULL;NULL;D;0;0;3;0;0;0;0;0;0;0;SP;58;0;0;0.01
10112;1;FUN_01;1;0;NULL;60;F;52;F;10000;0;0;6;81;0;0;12;0;0;NULL;NULL;NULL;D;0;0;3;0;0;0;0;0;0;0;EXT;60;0;0;0.01
10128;1;FUN_01;1;0;NULL;35;M;35;M;20000;1980;0;6;80;0;0;12;0;0;NULL;NULL;NULL;D;0;0;3;0;0;0;0;0;0;0;MM;85;0;0;0.01
10128;1;FUN_01;1;0;NULL;8;M;35;M;10000;0;0;6;80;0;0;12;0;0;NULL;NULL;NULL;D;0;0;3;0;0;0;0;0;0;0;CH;112;0;0;0.01
10128;1;FUN_01;1;0;NULL;1;M;35;M;7500;0;0;6;80;0;0;12;0;0;NULL;NULL;NULL;D;0;0;3;0;0;0;0;0;0;0;CH;119;0;0;0.01
10130;1;FUN_01;1;0;NULL;57;M;57;M;10000;1140;0;6;81;0;0;12;0;0;NULL;NULL;NULL;B;0;0;3;0;0;0;0;0;0;0;MM;63;0;0;0.01
10130;1;FUN_01;1;0;NULL;46;M;57;M;10000;0;0;6;81;0;0;12;0;0;NULL;NULL;NULL;B;0;0;3;0;0;0;0;0;0;0;SP;74;0;0;0.01
10130;1;FUN_01;1;0;NULL;15;M;57;M;7500;0;0;6;81;0;0;12;0;0;NULL;NULL;NULL;B;0;0;3;0;0;0;0;0;0;0;CH;105;0;0;0.01
10137;1;FUN_01;1;0;NULL;30;M;30;M;10000;1140;0;6;79;0;0;12;0;0;NULL;NULL;NULL;B;0;0;3;0;0;0;0;0;0;0;MM;90;0;0;0.01
10137;1;FUN_01;1;0;NULL;37;M;30;M;10000;0;0;6;79;0;0;12;0;0;NULL;NULL;NULL;B;0;0;3;0;0;0;0;0;0;0;SP;83;0;0;0.01
10137;1;FUN_01;1;0;NULL;7;M;30;M;7500;0;0;6;79;0;0;12;0;0;NULL;NULL;NULL;B;0;0;3;0;0;0;0;0;0;0;CH;113;0;0;0.01
10137;1;FUN_01;1;0;NULL;3;M;30;M;2500;0;0;6;79;0;0;12;0;0;NULL;NULL;NULL;B;0;0;3;0;0;0;0;0;0;0;CH;117;0;0;0.01
10142;1;FUN_01;1;0;NULL;44;F;44;F;20000;3420;0;6;79;0;0;12;0;0;NULL;NULL;NULL;D;0;0;3;0;0;0;0;0;0;0;MM;76;0;0;0.01
10142;1;FUN_01;1;0;NULL;49;M;44;F;20000;0;0;6;79;0;0;12;0;0;NULL;NULL;NULL;D;0;0;3;0;0;0;0;0;0;0;SP;71;0;0;0.01
