"yield_curve_code";"proj_time";"month";"nominal_rate";"inflation";"basis"
"YC202112";188;12;0.09046825;0.07967153;"IFRS"
"YC202112";189;12;0.09046825;0.07967153;"IFRS"
"YC202112";190;12;0.09041069;0.07961454;"IFRS"
"YC202112";191;12;0.09041069;0.07961454;"IFRS"
"YC202112";192;12;0.09041069;0.07961454;"IFRS"
"YC202112";193;12;0.09041682;0.07962062;"IFRS"
"YC202112";194;12;0.09041682;0.07962062;"IFRS"
"YC202112";195;12;0.09041682;0.07962062;"IFRS"
"YC202112";196;12;0.09046626;0.07966956;"IFRS"
"YC202112";197;12;0.09046626;0.07966956;"IFRS"
"YC202112";198;12;0.09046626;0.07966956;"IFRS"
"YC202112";199;12;0.09059477;0.0797968;"IFRS"
"YC202112";200;12;0.09059477;0.0797968;"IFRS"
"YC202112";201;12;0.09059477;0.0797968;"IFRS"
"YC202112";202;12;0.09077614;0.07997637;"IFRS"
"YC202112";203;12;0.09077614;0.07997637;"IFRS"
"YC202112";204;12;0.09077614;0.07997637;"IFRS"
"YC202112";205;12;0.09104781;0.08024536;"IFRS"
"YC202112";206;12;0.09104781;0.08024536;"IFRS"
"YC202112";207;12;0.09104781;0.08024536;"IFRS"
"YC202112";208;12;0.09137563;0.08056993;"IFRS"
"YC202112";209;12;0.09137563;0.08056993;"IFRS"
"YC202112";210;12;0.09137563;0.08056993;"IFRS"
"YC202112";211;12;0.09179893;0.08098904;"IFRS"
"YC202112";212;12;0.09179893;0.08098904;"IFRS"
"YC202112";213;12;0.09179893;0.08098904;"IFRS"
"YC202112";214;12;0.09227568;0.08146107;"IFRS"
"YC202112";215;12;0.09227568;0.08146107;"IFRS"
"YC202112";216;12;0.09227568;0.08146107;"IFRS"
"YC202112";217;12;0.09284779;0.08202751;"IFRS"
"YC202112";218;12;0.09284779;0.08202751;"IFRS"
"YC202112";219;12;0.09284779;0.08202751;"IFRS"
"YC202112";220;12;0.09346298;0.08263662;"IFRS"
"YC202112";221;12;0.09346298;0.08263662;"IFRS"
"YC202112";222;12;0.09346298;0.08263662;"IFRS"
"YC202112";223;12;0.09417355;0.08334015;"IFRS"
"YC202112";224;12;0.09417355;0.08334015;"IFRS"
"YC202112";225;12;0.09417355;0.08334015;"IFRS"
"YC202112";226;12;0.09487298;0.08403265;"IFRS"
"YC202112";227;12;0.09487298;0.08403265;"IFRS"
"YC202112";228;12;0.09487298;0.08403265;"IFRS"
"YC202112";229;12;0.09553129;0.08468445;"IFRS"
"YC202112";230;12;0.09553129;0.08468445;"IFRS"
"YC202112";231;12;0.09553129;0.08468445;"IFRS"
"YC202112";232;12;0.09605172;0.08519973;"IFRS"
"YC202112";233;12;0.09605172;0.08519973;"IFRS"
"YC202112";234;12;0.09605172;0.08519973;"IFRS"
"YC202112";235;12;0.09649858;0.08564216;"IFRS"
"YC202112";236;12;0.09649858;0.08564216;"IFRS"
"YC202112";237;12;0.09649858;0.08564216;"IFRS"
"YC202112";238;12;0.09685211;0.08599219;"IFRS"
