policy_number,spcode,product_code,initial_policy,commencement_year,commencement_month,ifrs17_group,age_at_entry,gender,main_member_age_at_entry,main_member_gender,sum_assured,annual_premium,premium_status,premium_pattern,waiting_period,duration_in_force_months,sum_assured_escalation,premium_escalation,interest_percentage,income,education_level,socio_economic_class,occupational_class,smoker_status,select_period,current_loan,premium_frequency,premium_rate,temporary_premium_waiver_indicator,temporary_premium_waiver_month_exit,distribution,tax_class,education,plan,continuity_or_premium_waiver_option,premium_waiver_indicator,commission_type,cashback_indicator,funeral_service_indicator,repatriation,tombstone,cow_benefit,educator_option,paidup_option,paidup_indicator,member_type,term,original_term,outstanding_term_months,food,cashback_option,premium_holiday_used,disability_definition,deferred_period
10259,1,FUN_01,1,2021,12,1,66,M,57,F,25000,0,0,1,6,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,C,0,0,1,0,0,0,0,0,0,0,0,SP,648,0,0,0,0,0,0,0
10261,1,FUN_01,1,2021,12,1,50,F,50,F,50000,2964,0,1,6,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,1,1,0,0,0,MM,840,0,0,0,0,0,0,0
10261,1,FUN_01,1,2021,12,1,56,M,50,F,50000,0,0,1,6,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,1,1,0,0,0,SP,768,0,0,0,0,0,0,0
10261,1,FUN_01,1,2021,12,1,19,F,50,F,25000,0,0,1,6,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,CH,72,0,0,0,0,0,0,0
10288,1,FUN_01,1,2021,12,1,40,F,40,F,50000,3372,0,1,6,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,1,0,0,0,0,MM,948,0,0,0,0,0,0,0
10288,1,FUN_01,1,2021,12,1,45,F,40,F,50000,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,1,0,0,0,0,SP,900,0,0,0,0,0,0,0
10288,1,FUN_01,1,2021,12,1,13,F,40,F,15000,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,CH,144,0,0,0,0,0,0,0
10288,1,FUN_01,1,2021,12,1,7,F,40,F,15000,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,CH,216,0,0,0,0,0,0,0
10288,1,FUN_01,1,2021,12,1,84,F,40,F,10000,0,0,1,9,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,PAR,420,0,0,0,0,0,0,0
10320,1,FUN_01,1,2021,12,1,60,F,60,F,50000,1380,0,1,6,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,MM,720,0,0,0,0,0,0,0
10323,1,FUN_01,1,2021,12,1,42,F,42,F,50000,3288,0,1,6,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,1,0,0,0,0,0,0,0,MM,936,0,0,0,1,0,0,0
10323,1,FUN_01,1,2021,12,1,11,F,42,F,15000,0,0,1,6,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,CH,168,0,0,0,0,0,0,0
10365,1,FUN_01,1,2021,12,1,38,F,38,F,50000,2340,0,1,6,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,MM,972,0,0,0,0,0,0,0
10365,1,FUN_01,1,2021,12,1,38,F,38,F,50000,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,SP,972,0,0,0,0,0,0,0
10365,1,FUN_01,1,2021,12,1,16,M,38,F,25000,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,CH,108,0,0,0,0,0,0,0
